[1/30] TrainAcc:0.1958, trainLoss:2.2575. Test: Overall Acc: 0.026469 Mean Acc: 0.169046 FreqW Acc: 0.012723 Mean IoU: 0.007761 Class IoU: 	class 0: 0.022822 	class 1: 0.000000 	class 2: 0.009669 	class 3: 0.014076 	class 4: 0.000000 	class 5: 0.000000 ,MaxTestAcc:0.0265.
[2/30] TrainAcc:0.4102, trainLoss:1.6397. Test: Overall Acc: 0.159497 Mean Acc: 0.158933 FreqW Acc: 0.097806 Mean IoU: 0.044811 Class IoU: 	class 0: 0.256847 	class 1: 0.000000 	class 2: 0.000015 	class 3: 0.012002 	class 4: 0.000000 	class 5: 0.000000 ,MaxTestAcc:0.1595.
[3/30] TrainAcc:0.4968, trainLoss:1.5259. Test: Overall Acc: 0.347638 Mean Acc: 0.170064 FreqW Acc: 0.143925 Mean IoU: 0.071164 Class IoU: 	class 0: 0.362375 	class 1: 0.000000 	class 2: 0.000235 	class 3: 0.017284 	class 4: 0.047091 	class 5: 0.000000 ,MaxTestAcc:0.3476.
[4/30] TrainAcc:0.5696, trainLoss:1.4307. Test: Overall Acc: 0.371288 Mean Acc: 0.173172 FreqW Acc: 0.154220 Mean IoU: 0.069934 Class IoU: 	class 0: 0.376659 	class 1: 0.000000 	class 2: 0.026981 	class 3: 0.015287 	class 4: 0.000676 	class 5: 0.000000 ,MaxTestAcc:0.3713.
[5/30] TrainAcc:0.5448, trainLoss:1.4370. Test: Overall Acc: 0.380098 Mean Acc: 0.180109 FreqW Acc: 0.176778 Mean IoU: 0.078845 Class IoU: 	class 0: 0.426559 	class 1: 0.000000 	class 2: 0.035738 	class 3: 0.008521 	class 4: 0.002255 	class 5: 0.000000 ,MaxTestAcc:0.3801.
[6/30] TrainAcc:0.5745, trainLoss:1.3302. Test: Overall Acc: 0.427504 Mean Acc: 0.253878 FreqW Acc: 0.275051 Mean IoU: 0.126763 Class IoU: 	class 0: 0.456005 	class 1: 0.000000 	class 2: 0.243381 	class 3: 0.024307 	class 4: 0.035327 	class 5: 0.001560 ,MaxTestAcc:0.4275.
[7/30] TrainAcc:0.5863, trainLoss:1.2854. Test: Overall Acc: 0.452241 Mean Acc: 0.339061 FreqW Acc: 0.342721 Mean IoU: 0.176348 Class IoU: 	class 0: 0.337198 	class 1: 0.000000 	class 2: 0.493645 	class 3: 0.043580 	class 4: 0.124993 	class 5: 0.058672 ,MaxTestAcc:0.4522.
[8/30] TrainAcc:0.6349, trainLoss:1.1835. Test: Overall Acc: 0.412764 Mean Acc: 0.317970 FreqW Acc: 0.291820 Mean IoU: 0.161754 Class IoU: 	class 0: 0.526133 	class 1: 0.000000 	class 2: 0.178757 	class 3: 0.024811 	class 4: 0.138020 	class 5: 0.102801 ,MaxTestAcc:0.4522.
[9/30] TrainAcc:0.5841, trainLoss:1.2446. Test: Overall Acc: 0.486854 Mean Acc: 0.326750 FreqW Acc: 0.398276 Mean IoU: 0.201118 Class IoU: 	class 0: 0.438937 	class 1: 0.000000 	class 2: 0.511203 	class 3: 0.026005 	class 4: 0.218026 	class 5: 0.012536 ,MaxTestAcc:0.4869.
[10/30] TrainAcc:0.6487, trainLoss:1.1145. Test: Overall Acc: 0.521223 Mean Acc: 0.342375 FreqW Acc: 0.426528 Mean IoU: 0.213255 Class IoU: 	class 0: 0.580101 	class 1: 0.000000 	class 2: 0.456302 	class 3: 0.024559 	class 4: 0.184307 	class 5: 0.034263 ,MaxTestAcc:0.5212.
[11/30] TrainAcc:0.6997, trainLoss:0.9329. Test: Overall Acc: 0.613156 Mean Acc: 0.378831 FreqW Acc: 0.502685 Mean IoU: 0.249716 Class IoU: 	class 0: 0.588820 	class 1: 0.000000 	class 2: 0.639421 	class 3: 0.033506 	class 4: 0.176050 	class 5: 0.060499 ,MaxTestAcc:0.6132.
